,date,team1,team2,score1,score2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qbelo_prob1,qbelo_prob2,elo_spread,qb_spread,vegas_spread,result
42,1979-09-23,DET,ATL,24.0,23.0,1415.276,1502.305,0.4683401349267177,0.5316598650732823,1435.6978273,1492.93665294,0.38712765542099997,0.612872344579,0.8811599999999964,3.1922532358887334,6.0,-1.0
43,1979-09-23,KC,OAK,35.0,7.0,1405.4389999999999,1515.255,0.4358599318793541,0.5641400681206459,1410.62864021,1523.19735004,0.395776396771,0.6042236032289999,1.7926399999999996,2.9399647384270975,3.0,-28.0
44,1979-09-23,MIA,CHI,31.0,16.0,1616.281,1514.49,0.7231470668731773,0.2768529331268227,1602.6530502,1514.48674658,0.6922022693100001,0.30779773069000005,-6.6716399999999965,-5.631481682833073,-6.0,-15.0
45,1979-09-23,MIN,GB,27.0,21.0,1461.151,1435.8229999999999,0.6271406964954563,0.3728593035045437,1463.24118982,1437.42677889,0.586534665811,0.413465334189,-3.6131199999999972,-2.429673311420595,-1.0,-6.0
46,1979-09-23,NE,LAC,27.0,21.0,1578.8429999999998,1612.1670000000001,0.5454595429839115,0.4545404570160885,1578.21849482,1605.07102797,0.565442479725,0.4345575202750001,-1.2670400000000086,-1.8294585978271032,-3.0,-6.0
47,1979-09-23,NYG,PHI,13.0,17.0,1378.4460000000001,1529.374,0.3788008001234449,0.6211991998765551,1373.62412647,1528.96902896,0.33359523646,0.66640476354,3.437120000000003,4.808292036047793,5.0,4.0
48,1979-09-23,PIT,IND,17.0,13.0,1713.181,1375.5020000000002,0.91035740329825,0.08964259670175001,1711.75018976,1378.05235346,0.9114829493909999,0.08851705060899995,-16.107160000000007,-16.20354582671183,-14.0,-4.0
49,1979-09-23,SF,NO,21.0,30.0,1355.5339999999999,1391.6989999999998,0.5414018860136386,0.4585981139863614,1362.52115313,1384.4855119000001,0.56863649477,0.43136350523,-1.1534000000000013,-1.919861271099239,-0.0,9.0
50,1979-09-23,TB,LAR,21.0,6.0,1465.904,1570.953,0.4426187771774392,0.5573812228225609,1463.77175296,1570.33143038,0.42146003020000006,0.5785399698,1.6019599999999972,2.2012315943219223,3.0,-15.0
51,1979-09-24,CLE,DAL,26.0,7.0,1520.594,1684.43,0.3614801229616649,0.6385198770383351,1514.74525641,1684.60654175,0.325270194957,0.674729805043,3.953439999999999,5.070169997004789,3.0,-19.0
52,1979-09-30,IND,BUF,13.0,31.0,1373.0629999999999,1463.785,0.4630505485585424,0.5369494514414576,1375.64615562,1466.28436099,0.39037386431000004,0.60962613569,1.0288800000000022,3.0973255021663406,-2.0,18.0
53,1979-09-30,CHI,TB,13.0,17.0,1500.22,1497.385,0.5964005668762633,0.4035994331237367,1498.44536987,1496.67588467,0.565714605828,0.434285394172,-2.713399999999999,-1.8371546909729073,-1.0,4.0
54,1979-09-30,DAL,CIN,38.0,13.0,1644.374,1418.481,0.8421768218438924,0.15782317815610758,1641.70876491,1413.77979879,0.846343312403,0.15365668759700002,-11.635719999999997,-11.855921601155256,-10.0,-25.0
55,1979-09-30,DET,MIN,10.0,13.0,1422.721,1475.09,0.5181694661484866,0.4818305338515134,1444.51384855,1478.90017425,0.48132089673600004,0.518679103264,-0.5052400000000038,0.5194245468251079,-3.0,3.0
56,1979-09-30,TEN,CLE,31.0,10.0,1581.9620000000002,1560.65,0.6217192104623939,0.3782807895376061,1587.73735688,1557.64303325,0.582033570886,0.417966429114,-3.452479999999997,-2.300906144732905,-6.0,-21.0
57,1979-09-30,LAR,ARI,21.0,0.0,1539.473,1468.399,0.6863919602033015,0.3136080397966985,1537.42729867,1468.22444409,0.67625739647,0.32374260352999995,-5.442960000000002,-5.118594771120685,-6.0,-21.0
58,1979-09-30,NO,NYG,24.0,14.0,1416.963,1366.711,0.6600335751435603,0.3399664248564397,1411.25623656,1363.44243446,0.680805613728,0.31919438627200003,-4.610079999999997,-5.263486134831676,-6.0,-10.0
59,1979-09-30,NYJ,MIA,33.0,27.0,1445.1270000000002,1630.5510000000002,0.33331798072415353,0.6666820192758465,1443.06772071,1618.69442691,0.35089212506800005,0.6491078749320001,4.816959999999999,4.274292101869726,4.0,-6.0
60,1979-09-30,OAK,DEN,27.0,3.0,1476.473,1591.503,0.4284945915868628,0.5715054084131372,1481.0989037,1595.12234293,0.40444008469400006,0.5955599153059999,2.001199999999998,2.6891402691495316,3.0,-24.0
61,1979-09-30,PHI,PIT,17.0,14.0,1541.109,1715.62,0.3474207536323609,0.6525792463676392,1539.15072097,1714.1563875999998,0.340528711466,0.6594712885339999,4.380439999999997,4.592674516985298,4.0,-3.0
62,1979-09-30,LAC,SF,31.0,9.0,1594.729,1330.271,0.8694963226155401,0.1305036773844599,1588.50326247,1335.75042847,0.85016173984,0.14983826016,-13.178320000000006,-12.062061355853803,-13.0,-22.0
63,1979-09-30,SEA,KC,6.0,24.0,1474.7579999999998,1444.2220000000002,0.6341238568223126,0.36587614317768735,1474.97800191,1452.72708655,0.644529662023,0.355470337977,-3.821440000000002,-4.135032668490438,-6.0,18.0
64,1979-10-01,GB,NE,27.0,14.0,1421.884,1596.2820000000002,0.3475682448793269,0.6524317551206731,1421.76779446,1594.78626032,0.341813571087,0.6581864289129999,4.375919999999995,4.5529539483367865,7.0,-13.0
65,1979-10-07,ATL,GB,25.0,7.0,1469.11,1458.122,0.6076445952874838,0.3923554047125162,1458.76290181,1458.40306882,0.573112251095,0.426887748905,-3.0395199999999947,-2.0468160143794427,-6.0,-18.0
