,date,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,qbelo1_pre,qbelo2_pre,qbelo_prob1,qbelo_prob2,score1,score2,date_asdate,elo_spread,qb_spread,game_info
6319,1979-01-07,PIT,TEN,1728.898,1615.116,0.7367514448500537,0.2632485551499463,1728.63252697,1624.59963519,0.738450787061,0.261549212939,34.0,5.0,1979-01-07,-7.151279999999997,-7.212290243790892,01/07/1979 PIT-TEN
6320,1979-01-07,LAR,DAL,1635.352,1732.774,0.4534759606766463,0.5465240393233537,1629.76305813,1739.85937299,0.40495244744099995,0.595047552559,0.0,28.0,1979-01-07,1.2968799999999923,2.6743623229619558,01/07/1979 LAR-DAL
6321,1979-01-21,PIT,DAL,1745.4589999999998,1762.871,0.474963075045581,0.525036924954419,1745.07643009,1766.3269057,0.459649587469,0.540350412531,35.0,31.0,1979-01-21,0.69648,1.123977803018298,01/21/1979 PIT-DAL
6322,1979-09-01,TB,DET,1385.204,1487.039,0.4471878979729593,0.5528121020270407,1382.92803485,1501.88631693,0.427168333353,0.572831666647,31.0,16.0,1979-09-01,1.4734000000000014,2.0388474857042485,09/01/1979 TB-DET
6323,1979-09-02,LAR,OAK,1571.8370000000002,1543.108,0.6317071473685908,0.3682928526314092,1570.53035028,1554.74634707,0.617516093879,0.382483906121,17.0,24.0,1979-09-02,-3.749160000000002,-3.328561837397027,09/02/1979 LAR-OAK
6324,1979-09-02,MIN,SF,1501.07,1376.895,0.7481893812663615,0.2518106187336385,1501.39269657,1385.55690109,0.707519637568,0.29248036243200004,28.0,22.0,1979-09-02,-7.566999999999998,-6.138268579372441,09/02/1979 MIN-SF
6325,1979-09-02,NYJ,CLE,1486.703,1483.734,0.5965862262051996,0.4034137737948004,1491.27344327,1479.16006236,0.578964348428,0.421035651572,22.0,25.0,1979-09-02,-2.718760000000002,-2.2133271970894604,09/02/1979 NYJ-CLE
6326,1979-09-02,KC,IND,1408.082,1420.16,0.5755772697541367,0.4244227302458633,1411.64774212,1424.21090188,0.528006603604,0.471993396396,14.0,0.0,1979-09-02,-2.1168799999999988,-0.7792549061055183,09/02/1979 KC-IND
6327,1979-09-02,DEN,CIN,1579.121,1491.38,0.7066663379123309,0.2933336620876691,1580.34862642,1487.02432658,0.6756024472759999,0.32439755272399995,10.0,0.0,1979-09-02,-6.109640000000001,-5.097818317876262,09/02/1979 DEN-CIN
6328,1979-09-02,WSH,TEN,1469.366,1567.37,0.4526457771188673,0.5473542228811327,1474.87692326,1573.77048805,0.438268083425,0.561731916575,27.0,29.0,1979-09-02,1.3201599999999987,1.7246280925766553,09/02/1979 WSH-TEN
6329,1979-09-02,CHI,GB,1485.806,1462.5020000000002,0.6244122523839604,0.3755877476160397,1483.90948967,1464.01976814,0.608396442329,0.391603557671,6.0,3.0,1979-09-02,-3.5321600000000046,-3.0614405942003695,09/02/1979 CHI-GB
6330,1979-09-02,PHI,NYG,1516.285,1435.862,0.6978587467994739,0.3021412532005261,1515.40119848,1430.89280537,0.6862894604449999,0.31371053955499995,23.0,17.0,1979-09-02,-5.81692,-5.439651514590607,09/02/1979 PHI-NYG
6331,1979-09-02,SEA,LAC,1489.9289999999999,1550.894,0.5058065707257776,0.4941934292742224,1488.64017048,1543.01697651,0.497223978835,0.502776021165,16.0,33.0,1979-09-02,-0.16140000000000512,0.07715987593951025,09/02/1979 SEA-LAC
6332,1979-09-02,NO,ATL,1454.5410000000002,1472.7479999999998,0.5669363096366579,0.4330636903633421,1447.15954458,1464.24245753,0.563143856676,0.436856143324,34.0,40.0,1979-09-02,-1.871719999999999,-1.7644944539999645,09/02/1979 NO-ATL
6333,1979-09-02,BUF,MIA,1422.82,1573.513,0.3791191733062367,0.6208808266937633,1423.23935295,1559.95052174,0.37535291513499996,0.624647084865,7.0,9.0,1979-09-02,3.4277199999999994,3.5391187906406687,09/02/1979 BUF-MIA
6334,1979-09-02,ARI,DAL,1483.233,1665.557,0.3372951770274772,0.6627048229725228,1481.35149938,1667.4724456,0.317285210293,0.6827147897070001,21.0,22.0,1979-09-02,4.692960000000004,5.324631718921549,09/02/1979 ARI-DAL
6335,1979-09-03,NE,PIT,1550.07,1676.6629999999998,0.4122776023332791,0.5877223976667211,1546.04404649,1676.79644492,0.37886479591399996,0.621135204086,13.0,16.0,1979-09-03,2.4637200000000035,3.4352302706215725,09/03/1979 NE-PIT
6336,1979-09-06,DEN,LAR,1592.275,1544.396,0.6569617311037479,0.3430382688962521,1595.05416534,1543.83898874,0.645891285584,0.354108714416,9.0,13.0,1979-09-06,-4.515160000000007,-4.176364966643093,09/06/1979 DEN-LAR
6337,1979-09-09,DET,WSH,1455.8629999999998,1459.567,0.5873080745518894,0.4126919254481106,1469.36838566,1465.43228566,0.493688111404,0.5063118885960001,24.0,27.0,1979-09-09,-2.4518399999999985,0.1754472969502896,09/09/1979 DET-WSH
6338,1979-09-09,CHI,MIN,1495.817,1510.094,0.5724820386815092,0.4275179613184909,1494.40202009,1512.03329263,0.567899507513,0.432100492487,26.0,7.0,1979-09-09,-2.028919999999999,-1.898987692173703,09/09/1979 CHI-MIN
6339,1979-09-09,NYG,ARI,1424.832,1478.7939999999999,0.5158796166908699,0.4841203833091301,1419.39451292,1477.20394897,0.5148060214360001,0.485193978564,14.0,27.0,1979-09-09,-0.4415200000000017,-0.41165144832319744,09/09/1979 NYG-ARI
