,schedule_date,team_home,score_home,score_away,team_away,team_favorite_id,spread_favorite,over_under_line,home_favorite,fixed_spread,game_info
2542,09/17/1979,WAS,27.0,0.0,NYG,WAS,-6.0,37,1,-6.0,09/17/1979 WAS-NYG
2543,09/23/1979,BUF,46.0,31.0,NYJ,BUF,-3.0,42,1,-3.0,09/23/1979 BUF-NYJ
2544,09/23/1979,CIN,27.0,30.0,TEN,TEN,-3.0,37,-1,3.0,09/23/1979 CIN-TEN
2545,09/23/1979,DEN,37.0,34.0,SEA,DEN,-6.0,37,1,-6.0,09/23/1979 DEN-SEA
2546,09/23/1979,DET,24.0,23.0,ATL,ATL,-6.0,37,-1,6.0,09/23/1979 DET-ATL
2547,09/23/1979,KC,35.0,7.0,OAK,OAK,-3.0,41,-1,3.0,09/23/1979 KC-OAK
2548,09/23/1979,MIA,31.0,16.0,CHI,MIA,-6.0,37,1,-6.0,09/23/1979 MIA-CHI
2549,09/23/1979,MIN,27.0,21.0,GB,MIN,-1.0,34,1,-1.0,09/23/1979 MIN-GB
2550,09/23/1979,NE,27.0,21.0,LAC,NE,-3.0,44,1,-3.0,09/23/1979 NE-LAC
2551,09/23/1979,NYG,13.0,17.0,PHI,PHI,-5.0,37,-1,5.0,09/23/1979 NYG-PHI
2552,09/23/1979,PIT,17.0,13.0,IND,PIT,-14.0,38,1,-14.0,09/23/1979 PIT-IND
2553,09/23/1979,SF,21.0,30.0,NO,PICK,0.0,42,-1,-0.0,09/23/1979 SF-NO
2554,09/23/1979,ARI,7.0,17.0,WAS,ARI,-3.0,39,1,-3.0,09/23/1979 ARI-WAS
2555,09/23/1979,TB,21.0,6.0,LAR,LAR,-3.0,35,-1,3.0,09/23/1979 TB-LAR
2556,09/24/1979,CLE,26.0,7.0,DAL,DAL,-3.0,40,-1,3.0,09/24/1979 CLE-DAL
2557,09/30/1979,ATL,7.0,16.0,WAS,ATL,-3.0,37,1,-3.0,09/30/1979 ATL-WAS
2558,09/30/1979,IND,13.0,31.0,BUF,IND,-2.0,42,1,-2.0,09/30/1979 IND-BUF
2559,09/30/1979,CHI,13.0,17.0,TB,CHI,-1.0,34,1,-1.0,09/30/1979 CHI-TB
2560,09/30/1979,DAL,38.0,13.0,CIN,DAL,-10.0,40,1,-10.0,09/30/1979 DAL-CIN
2561,09/30/1979,DET,10.0,13.0,MIN,DET,-3.0,39,1,-3.0,09/30/1979 DET-MIN
2562,09/30/1979,TEN,31.0,10.0,CLE,TEN,-6.0,39,1,-6.0,09/30/1979 TEN-CLE
2563,09/30/1979,LAR,21.0,0.0,ARI,LAR,-6.0,38,1,-6.0,09/30/1979 LAR-ARI
2564,09/30/1979,NO,24.0,14.0,NYG,NO,-6.0,39,1,-6.0,09/30/1979 NO-NYG
2565,09/30/1979,NYJ,33.0,27.0,MIA,MIA,-4.0,43,-1,4.0,09/30/1979 NYJ-MIA
2566,09/30/1979,OAK,27.0,3.0,DEN,DEN,-3.0,36,-1,3.0,09/30/1979 OAK-DEN
2567,09/30/1979,PHI,17.0,14.0,PIT,PIT,-4.0,36,-1,4.0,09/30/1979 PHI-PIT
2568,09/30/1979,LAC,31.0,9.0,SF,LAC,-13.0,44,1,-13.0,09/30/1979 LAC-SF
2569,09/30/1979,SEA,6.0,24.0,KC,SEA,-6.0,43,1,-6.0,09/30/1979 SEA-KC
2570,10/01/1979,GB,27.0,14.0,NE,NE,-7.0,39,-1,7.0,10/01/1979 GB-NE
2571,10/07/1979,ATL,25.0,7.0,GB,ATL,-6.0,35,1,-6.0,10/07/1979 ATL-GB
2572,10/07/1979,IND,10.0,8.0,NYJ,NYJ,-3.0,42,-1,3.0,10/07/1979 IND-NYJ
2573,10/07/1979,BUF,0.0,7.0,CHI,BUF,-5.0,40,1,-5.0,10/07/1979 BUF-CHI
2574,10/07/1979,CIN,7.0,10.0,KC,PICK,0.0,38,-1,-0.0,10/07/1979 CIN-KC
2575,10/07/1979,CLE,35.0,51.0,PIT,PIT,-4.0,36,-1,4.0,10/07/1979 CLE-PIT
2576,10/07/1979,DEN,7.0,0.0,LAC,LAC,-1.0,37,-1,1.0,10/07/1979 DEN-LAC
2577,10/07/1979,TEN,17.0,24.0,ARI,TEN,-7.0,39,1,-7.0,10/07/1979 TEN-ARI
2578,10/07/1979,MIN,20.0,36.0,DAL,DAL,-7.0,39,-1,7.0,10/07/1979 MIN-DAL
2579,10/07/1979,NE,24.0,17.0,DET,NE,-13.0,40,1,-13.0,10/07/1979 NE-DET
2580,10/07/1979,NO,17.0,35.0,LAR,LAR,-4.0,39,-1,4.0,10/07/1979 NO-LAR
2581,10/07/1979,NYG,17.0,14.0,TB,TB,-6.0,34,-1,6.0,10/07/1979 NYG-TB
2582,10/07/1979,PHI,28.0,17.0,WAS,PHI,-1.0,37,1,-1.0,10/07/1979 PHI-WAS
2583,10/07/1979,SF,24.0,35.0,SEA,SEA,-5.0,43,-1,5.0,10/07/1979 SF-SEA
2584,10/08/1979,OAK,13.0,3.0,MIA,MIA,-1.0,39,-1,1.0,10/08/1979 OAK-MIA
2585,10/14/1979,IND,16.0,28.0,TEN,TEN,-6.0,36,-1,6.0,10/14/1979 IND-TEN
2586,10/14/1979,CHI,7.0,27.0,NE,NE,-4.0,37,-1,4.0,10/14/1979 CHI-NE
2587,10/14/1979,CIN,34.0,10.0,PIT,PIT,-10.0,39,-1,10.0,10/14/1979 CIN-PIT
2588,10/14/1979,CLE,9.0,13.0,WAS,CLE,-4.0,34,1,-4.0,10/14/1979 CLE-WAS
2589,10/14/1979,DAL,30.0,6.0,LAR,DAL,-3.0,39,1,-3.0,10/14/1979 DAL-LAR
2590,10/14/1979,GB,24.0,16.0,DET,GB,-4.0,36,1,-4.0,10/14/1979 GB-DET
2591,10/14/1979,KC,10.0,24.0,DEN,DEN,-1.0,34,-1,1.0,10/14/1979 KC-DEN
2592,10/14/1979,MIA,17.0,7.0,BUF,MIA,-6.0,40,1,-6.0,10/14/1979 MIA-BUF
2593,10/14/1979,NYG,32.0,16.0,SF,NYG,-4.0,38,1,-4.0,10/14/1979 NYG-SF
2594,10/14/1979,OAK,50.0,19.0,ATL,OAK,-10.0,37,1,-10.0,10/14/1979 OAK-ATL
2595,10/14/1979,LAC,20.0,10.0,SEA,LAC,-10.0,44,1,-10.0,10/14/1979 LAC-SEA
2596,10/14/1979,ARI,20.0,24.0,PHI,ARI,-3.0,38,1,-3.0,10/14/1979 ARI-PHI
2597,10/14/1979,TB,14.0,42.0,NO,TB,-8.0,38,1,-8.0,10/14/1979 TB-NO
2598,10/15/1979,NYJ,14.0,7.0,MIN,NYJ,-4.0,42,1,-4.0,10/15/1979 NYJ-MIN
2599,10/21/1979,BUF,13.0,14.0,IND,BUF,-6.0,39,1,-6.0,10/21/1979 BUF-IND
2600,10/21/1979,CLE,28.0,27.0,CIN,CLE,-3.0,39,1,-3.0,10/21/1979 CLE-CIN
2601,10/21/1979,DAL,22.0,13.0,ARI,DAL,-10.0,39,1,-10.0,10/21/1979 DAL-ARI
2602,10/21/1979,KC,17.0,21.0,NYG,KC,-6.0,36,1,-6.0,10/21/1979 KC-NYG
2603,10/21/1979,LAR,16.0,40.0,LAC,LAC,-1.0,37,-1,1.0,10/21/1979 LAR-LAC
2604,10/21/1979,MIN,30.0,27.0,CHI,MIN,-2.0,36,1,-2.0,10/21/1979 MIN-CHI
2605,10/21/1979,NE,28.0,13.0,MIA,NE,-5.0,38,1,-5.0,10/21/1979 NE-MIA
2606,10/21/1979,NO,17.0,7.0,DET,NO,-7.0,42,1,-7.0,10/21/1979 NO-DET
2607,10/21/1979,NYJ,28.0,19.0,OAK,OAK,-3.0,42,-1,3.0,10/21/1979 NYJ-OAK
2608,10/21/1979,SF,20.0,15.0,ATL,ATL,-4.0,42,-1,4.0,10/21/1979 SF-ATL
2609,10/21/1979,SEA,34.0,14.0,TEN,TEN,-2.0,42,-1,2.0,10/21/1979 SEA-TEN
2610,10/21/1979,TB,21.0,3.0,GB,TB,-5.0,37,1,-5.0,10/21/1979 TB-GB
2611,10/21/1979,WAS,17.0,7.0,PHI,PHI,-2.0,38,-1,2.0,10/21/1979 WAS-PHI
2612,10/22/1979,PIT,42.0,7.0,DEN,PIT,-7.0,37,1,-7.0,10/22/1979 PIT-DEN
2613,10/25/1979,OAK,45.0,22.0,LAC,LAC,-1.0,41,-1,1.0,10/25/1979 OAK-LAC
2614,10/28/1979,IND,31.0,26.0,NE,NE,-4.0,37,-1,4.0,10/28/1979 IND-NE
2615,10/28/1979,CIN,37.0,13.0,PHI,CIN,-3.0,38,1,-3.0,10/28/1979 CIN-PHI
2616,10/28/1979,DEN,20.0,3.0,KC,DEN,-7.0,34,1,-7.0,10/28/1979 DEN-KC
2617,10/28/1979,DET,17.0,20.0,BUF,BUF,-3.0,38,-1,3.0,10/28/1979 DET-BUF
2618,10/28/1979,TEN,27.0,24.0,NYJ,TEN,-6.0,42,1,-6.0,10/28/1979 TEN-NYJ
2619,10/28/1979,LAR,14.0,20.0,NYG,LAR,-6.0,37,1,-6.0,10/28/1979 LAR-NYG
2620,10/28/1979,MIA,27.0,7.0,GB,MIA,-11.0,36,1,-11.0,10/28/1979 MIA-GB
2621,10/28/1979,MIN,10.0,12.0,TB,PICK,0.0,37,-1,-0.0,10/28/1979 MIN-TB
2622,10/28/1979,PIT,14.0,3.0,DAL,PIT,-3.0,39,1,-3.0,10/28/1979 PIT-DAL
2623,10/28/1979,SF,27.0,28.0,CHI,CHI,-3.0,39,-1,3.0,10/28/1979 SF-CHI
2624,10/28/1979,ARI,20.0,38.0,CLE,ARI,-3.0,42,1,-3.0,10/28/1979 ARI-CLE
2625,10/28/1979,WAS,10.0,14.0,NO,WAS,-6.0,40,1,-6.0,10/28/1979 WAS-NO
2626,10/29/1979,ATL,28.0,31.0,SEA,SEA,-2.0,42,-1,2.0,10/29/1979 ATL-SEA
2627,11/04/1979,ATL,17.0,14.0,TB,ATL,-2.0,37,1,-2.0,11/04/1979 ATL-TB
2628,11/04/1979,IND,38.0,28.0,CIN,IND,-3.0,42,1,-3.0,11/04/1979 IND-CIN
2629,11/04/1979,BUF,6.0,26.0,NE,NE,-5.0,41,-1,5.0,11/04/1979 BUF-NE
